product_name,sales_price,discount_price,images,category,reviews
Clarifying Creamy Cleanser,"NGN 9,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42609%2F42609.png%3Fversion%3D1674547224&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,176
Even Out Night Cream,"NGN 13,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42553%2F42553.png%3Fversion%3D1674547211&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,175
Even Out Eye Cream,"NGN 11,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42555%2F42555.png%3Fversion%3D1674547213&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,79
Even Out Serum,"NGN 16,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42556%2F42556.png%3Fversion%3D1674547215&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,104
Even Out Day Cream SPF 20,"NGN 13,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42552%2F42552.png%3Fversion%3D1674547209&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,226
Comforting Facial Toner,"NGN 9,290.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42590%2F42590.png%3Fversion%3D1677738600&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,124
Mattifying & Cooling Face Lotion,"NGN 7,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41673%2F41673.png%3Fversion%3D1675252801&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,300
5 Minute Oil-control Clay Mask,"NGN 7,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41674%2F41674.png%3Fversion%3D1662982201&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,212
Pore Clearing Peel-off Mask,"NGN 7,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F42881%2F42881.png%3Fversion%3D1662982202&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,304
Smoothing Face Scrub,"NGN 7,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41675%2F41675.png%3Fversion%3D1662982201&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,318
SOS Blemish Gel,"NGN 6,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41676%2F41676.png%3Fversion%3D1675252802&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,232
Clarifying Toning Solution,"NGN 7,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F41672%2F41672.png%3Fversion%3D1662982200&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,372
Glow Essentials Face Cream with Vitamins E & B3 SPF 10,"NGN 5,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43906%2F43906.png%3Fversion%3D1603287900&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,570
Glow Essentials Mask & Scrub with Vitamins E & B3,"NGN 3,690.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F43910%2F43910.png%3Fversion%3D1662982202&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,592
Targeted 24-hour Blemish Correction,"NGN 19,990.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F45253%2F45253.png%3Fversion%3D1669189895&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,161
Intense Skin Recharge Overnight Mask,"NGN 20,490.00",,https://media-cdn.oriflame.com/productImage?externalMediaId=product-management-media%2F33490%2F33490.png%3Fversion%3D1669188698&w=896&bc=%23f5f5f5&ib=%23f5f5f5&h=896&q=30,skincare,842
